y,x1
0,0.587
0,0.607
1,0.921
0,0.292
1,0.911
0,0.222
1,0.936
0,0.462
0,0.368
0,0.213
1,0.854
0,0.421
0,0.701
0,0.456
1,0.842
0,0.282
1,0.749
0,0.151
0,0.3
1,0.878
0,0.454
0,0.678
0,0.097
0,0.032
0,0.206
0,0.335
0,0.305
1,0.98
0,0.026
0,0.589
0,0.297
0,0.136
1,0.978
1,0.957
0,0.52
0,0.071
0,0.377
0,0.699
0,0.396
0,0.127
0,0.694
1,0.887
0,0.652
0,0.046
0,0.304
0,0.043
0,0.696
0,0.59
1,0.757
0,0.631
0,0.058
0,0.499
0,0.571
0,0.246
0,0.636
0,0.719
0,0.509
1,0.856
0,0.653
1,0.811
0,0.576
1,0.912
0,0.063
0,0.108
1,0.919
0,0.204
0,0.609
0,0.069
1,0.818
0,0.712
0,0.085
0,0.248
1,0.765
0,0.285
1,0.982
0,0.012
0,0.273
0,0.445
1,0.966
0,0.067
1,0.935
0,0.633
0,0.531
0,0.551
0,0.477
0,0.602
0,0.428
0,0.475
0,0.201
0,0.531
1,0.757
1,0.81
0,0.028
1,0.728
0,0.01
0,0.401
0,0.488
0,0.273
0,0.124
0,0.628
