y,x1,x2,x3
0,0.645,0.969,0.967
1,0.679,0.029,0.929
0,0.105,0.342,0.013
1,0.463,0.163,0.137
0,0.277,0.18,0.95
1,0.812,0.721,0.217
1,0.615,0.315,0.92
1,0.777,0.936,0.619
1,0.445,0.584,0.467
0,0.136,0.01,0.568
1,0.502,0.524,0.005
1,0.801,0.157,0.051
1,0.824,0.798,0.708
1,0.431,0.348,0.295
0,0.059,0.118,0.994
0,0.124,0.012,0.862
1,0.471,0.818,0.263
1,0.939,0.042,0.115
1,0.642,0.389,0.16
1,0.786,0.303,0.946
1,0.775,0.164,0.98
0,0.284,0.566,0.397
1,0.856,0.721,0.672
0,0.253,0.531,0.74
1,0.906,0.836,0.271
1,0.105,0.01,0.064
1,0.435,0.16,0.727
0,0.116,0.774,0.164
0,0.3,0.71,0.669
1,0.677,0.368,0.419
1,0.498,0.261,0.176
1,0.996,0.167,0.396
1,0.881,0.634,0.404
1,0.785,0.691,0.849
1,0.447,0.487,0.542
0,0.268,0.935,0.126
0,0.108,0.409,0.499
0,0.465,0.667,0.835
0,0.134,0.911,0.006
0,0.536,0.95,0.547
0,0.165,0.908,0.714
1,0.485,0.875,0.3
0,0.11,0.391,0.272
1,0.359,0.236,0.038
0,0.224,0.421,0.731
1,0.523,0.145,0.095
0,0.221,0.094,0.439
0,0.119,0.673,0.969
1,0.381,0.13,0.179
0,0.377,0.312,0.926
1,0.459,0.503,0.343
1,0.731,0.446,0.535
0,0.503,0.35,0.887
1,0.896,0.436,0.351
1,0.694,0.5,0.976
0,0.555,0.957,0.633
0,0.404,0.679,0.751
1,0.783,0.394,0.44
1,0.932,0.227,0.933
0,0.316,0.481,0.727
0,0.291,0.846,0.437
1,0.471,0.353,0.625
0,0.252,0.211,0.44
1,0.85,0.379,0.636
1,0.884,0.1,0.787
0,0.234,0.828,0.436
1,0.457,0.748,0.238
0,0.395,0.757,0.6
0,0.412,0.823,0.845
0,0.007,0.859,0.947
1,0.596,0.426,0.85
0,0.02,0.566,0.312
0,0.126,0.055,0.771
1,0.642,0.283,0.097
0,0.129,0.46,0.674
1,0.589,0.733,0.56
0,0.317,0.779,0.238
1,0.345,0.316,0.029
0,0.229,0.769,0.847
1,0.424,0.068,0.221
0,0.285,0.46,0.773
1,0.77,0.06,0.279
1,0.686,0.362,0.09
1,0.598,0.15,0.117
0,0.319,0.787,0.253
0,0.274,0.913,0.054
0,0.22,0.2,0.461
0,0.325,0.309,0.479
1,0.728,0.559,0.981
0,0.062,0.624,0.708
1,0.668,0.513,0.719
1,0.753,0.251,0.49
1,0.732,0.557,0.368
1,0.631,0.484,0.951
0,0.342,0.879,0.173
1,0.65,0.073,0.741
0,0.153,0.153,0.835
0,0.049,0.304,0.294
1,0.85,0.241,0.253
0,0.264,0.836,0.744
