label,pixel0,pixel1,pixel2,pixel3
checkerboard,200,52,58,199
triangle,213,17,211,244
bright line,254,98,242,135
triangle,207,234,240,26
triangle,222,213,223,8
bright line,239,246,166,132
checkerboard,238,138,156,217
bright line,39,17,242,250
checkerboard,115,186,194,133
triangle,12,204,39,35
triangle,7,207,203,247
bright line,245,241,70,103
bright line,244,126,255,41
triangle,19,45,241,22
checkerboard,55,142,121,44
triangle,208,233,10,218
bright line,249,254,160,26
triangle,24,253,219,223
checkerboard,65,153,138,49
checkerboard,201,82,65,202
bright line,151,237,146,241
checkerboard,68,220,233,83
bright line,255,80,255,142
checkerboard,108,29,8,92
checkerboard,182,23,30,198
bright line,236,234,52,36
triangle,44,219,3,1
checkerboard,82,185,206,85
checkerboard,127,64,58,134
bright line,254,240,89,52
checkerboard,14,97,119,38
checkerboard,31,176,155,52
checkerboard,161,62,65,150
checkerboard,59,168,147,78
bright line,154,92,254,253
bright line,247,251,29,140
checkerboard,167,14,30,180
bright line,141,161,255,250
checkerboard,43,134,111,58
bright line,251,115,254,85
checkerboard,121,41,60,129
bright line,251,250,103,95
bright line,231,6,253,53
checkerboard,236,21,41,212
checkerboard,79,195,182,102
triangle,30,30,226,47
triangle,233,213,23,251
checkerboard,5,107,118,19
checkerboard,53,123,138,39
checkerboard,216,35,27,231
triangle,221,45,33,7
checkerboard,22,101,85,33
checkerboard,78,224,201,73
checkerboard,18,103,79,8
checkerboard,162,11,23,182
checkerboard,29,199,180,30
bright line,254,17,245,165
bright line,252,252,41,98
triangle,41,16,245,3
checkerboard,143,222,217,155
bright line,52,248,36,239
triangle,29,32,49,220
triangle,23,20,34,219
checkerboard,57,159,164,60
checkerboard,36,175,172,33
bright line,234,235,12,124
checkerboard,74,175,173,71
triangle,205,255,15,204
bright line,255,24,240,41
bright line,40,106,236,255
checkerboard,101,23,38,90
checkerboard,15,211,192,31
bright line,39,239,61,246
checkerboard,107,198,177,117
bright line,249,135,234,80
bright line,239,80,232,8
bright line,99,248,26,245
bright line,53,92,251,232
bright line,253,247,89,151
bright line,239,241,126,9
checkerboard,189,48,30,205
bright line,130,72,250,252
checkerboard,233,34,10,255
checkerboard,62,143,132,40
checkerboard,227,101,102,240
bright line,249,244,64,15
triangle,5,1,7,215
bright line,120,63,231,243
checkerboard,24,254,231,1
triangle,35,250,41,18
triangle,33,8,24,237
triangle,247,37,208,207
bright line,58,128,232,251
triangle,221,203,9,220
triangle,29,247,206,222
checkerboard,81,23,2,85
checkerboard,164,46,24,166
bright line,238,111,253,149
bright line,50,103,242,253
checkerboard,236,164,151,228
bright line,27,238,9,235
checkerboard,118,224,237,118
checkerboard,127,22,6,122
bright line,96,71,236,240
bright line,248,250,133,162
bright line,62,117,248,233
checkerboard,191,98,102,170
bright line,232,247,168,65
triangle,228,8,210,234
bright line,138,108,233,255
bright line,246,52,231,43
triangle,24,37,212,7
checkerboard,174,12,33,173
checkerboard,225,110,115,205
bright line,14,237,16,250
bright line,255,243,7,93
checkerboard,16,156,138,23
bright line,241,42,255,30
bright line,232,238,14,162
triangle,48,47,49,255
bright line,172,244,3,255
checkerboard,84,199,183,97
