,y,x1,x2,x3,score
0,0,0.645,0.969,0.967,-1.1187570000000013
1,1,0.679,0.029,0.929,3.302268999999999
2,0,0.105,0.342,0.013,-1.0622549999999995
3,1,0.463,0.163,0.137,3.7625650000000013
4,0,0.277,0.18,0.95,-2.6906300000000027
5,1,0.812,0.721,0.217,5.710809000000005
6,1,0.615,0.315,0.92,1.351779999999998
7,1,0.777,0.936,0.619,2.4355350000000016
8,1,0.445,0.584,0.467,0.22906299999999957
9,0,0.136,0.01,0.568,-2.0063760000000017
10,1,0.502,0.524,0.005,3.459277000000002
11,1,0.801,0.157,0.051,8.644919000000003
12,1,0.824,0.798,0.708,3.178148
13,1,0.431,0.348,0.295,1.8303390000000004
14,0,0.059,0.118,0.994,-5.5184340000000045
15,0,0.124,0.012,0.862,-3.5971380000000037
16,1,0.471,0.818,0.263,0.6160030000000012
17,1,0.939,0.042,0.115,10.611711000000001
18,1,0.642,0.389,0.16,5.0919120000000015
19,1,0.786,0.303,0.946,3.521081999999999
20,1,0.775,0.164,0.98,3.7721919999999987
21,0,0.284,0.566,0.397,-1.4746110000000003
22,1,0.856,0.721,0.672,4.083584000000001
23,0,0.253,0.531,0.74,-3.4033520000000017
24,1,0.906,0.836,0.271,6.220551000000003
25,0,0.105,0.01,0.064,0.029172000000000198
26,0,0.435,0.16,0.727,0.5470109999999992
27,0,0.116,0.774,0.164,-3.3914359999999997
28,0,0.3,0.71,0.669,-3.1633630000000017
29,1,0.677,0.368,0.419,4.381111000000002
30,1,0.498,0.261,0.176,3.6382960000000013
31,1,0.996,0.167,0.396,9.494684000000003
32,1,0.881,0.634,0.404,6.061864000000001
33,1,0.785,0.691,0.849,2.413685
34,0,0.447,0.487,0.542,0.2829219999999999
35,0,0.268,0.935,0.126,-1.8591219999999988
36,0,0.108,0.409,0.499,-3.6486210000000017
37,0,0.465,0.667,0.835,-1.6264890000000016
38,0,0.134,0.911,0.006,-2.9414739999999986
39,0,0.536,0.95,0.547,-0.43866899999999986
40,0,0.165,0.908,0.714,-5.9537140000000015
41,1,0.485,0.875,0.3,0.3908000000000016
42,0,0.11,0.391,0.272,-2.449496000000001
43,1,0.359,0.236,0.038,2.5815220000000014
44,0,0.224,0.421,0.731,-3.2972690000000022
45,1,0.523,0.145,0.095,4.827115000000002
46,0,0.221,0.094,0.439,-0.602901000000001
47,0,0.119,0.673,0.969,-6.846619000000004
48,1,0.381,0.13,0.179,2.6145670000000005
49,0,0.377,0.312,0.926,-1.7925260000000023
50,1,0.459,0.503,0.343,1.340643000000001
51,1,0.731,0.446,0.535,4.213923000000001
52,0,0.503,0.35,0.887,-0.10106900000000252
53,1,0.896,0.436,0.351,7.314191000000003
54,1,0.694,0.5,0.976,1.372487999999998
55,1,0.555,0.957,0.633,-0.6340749999999995
56,0,0.404,0.679,0.751,-2.0692650000000015
57,1,0.783,0.394,0.44,5.567332000000002
58,1,0.932,0.227,0.933,5.808965
59,0,0.316,0.481,0.727,-2.3109210000000013
60,0,0.291,0.846,0.437,-2.705471
61,0,0.471,0.353,0.625,0.7362689999999987
62,0,0.252,0.211,0.44,-0.6721520000000012
63,1,0.85,0.379,0.636,5.558180000000002
64,1,0.884,0.1,0.787,6.397970999999999
65,0,0.234,0.828,0.436,-3.377028
66,0,0.457,0.748,0.238,0.8354580000000018
67,0,0.395,0.757,0.6,-1.7701240000000007
68,0,0.412,0.823,0.845,-3.0003710000000017
69,0,0.007,0.859,0.947,-8.961617000000004
70,0,0.596,0.426,0.85,0.9938579999999992
71,0,0.02,0.566,0.312,-4.531576000000001
72,0,0.126,0.055,0.771,-3.3031570000000032
73,1,0.642,0.283,0.097,5.824665000000002
74,0,0.129,0.46,0.674,-4.4265380000000025
75,1,0.589,0.733,0.56,1.069684
76,0,0.317,0.779,0.238,-1.129133999999999
77,1,0.345,0.316,0.029,2.1186250000000015
78,0,0.229,0.769,0.847,-5.196957000000002
79,1,0.424,0.068,0.221,3.2259970000000004
80,0,0.285,0.46,0.773,-2.8565510000000027
81,1,0.77,0.06,0.279,7.523567
82,1,0.686,0.362,0.09,6.1182260000000035
83,1,0.598,0.15,0.117,5.685821000000002
84,0,0.319,0.787,0.253,-1.2078149999999992
85,0,0.274,0.913,0.054,-1.342593999999998
86,0,0.22,0.2,0.461,-1.1500670000000015
87,0,0.325,0.309,0.479,-0.29710100000000106
88,1,0.728,0.559,0.981,1.5571249999999974
89,0,0.062,0.624,0.708,-6.132964000000002
90,1,0.668,0.513,0.719,2.2241109999999993
91,1,0.753,0.251,0.49,5.507358000000002
92,1,0.732,0.557,0.368,4.588960000000002
93,1,0.631,0.484,0.951,0.7303549999999996
94,0,0.342,0.879,0.173,-0.8887789999999984
95,1,0.65,0.073,0.741,3.655036999999999
96,0,0.153,0.153,0.835,-3.653721000000003
97,0,0.049,0.304,0.294,-3.006886000000001
98,1,0.85,0.241,0.253,7.970997000000002
99,0,0.264,0.836,0.744,-4.5079600000000015
